word,variant,kind,gated,passed,score,min_score,max_score,operation,group,landmarks,factor,anchor_landmark_count,changed_visible_points,selected_visible_points,flower_opening_score,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,,dynamic_local_amplitude,right_hand,,1.0,0,0,0,0.9847862851619722,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,剥离基础组后重建 hand-shape/motion/relation 特征，应保持近满分。
花,flower_opening_dynamic_0.85,positive,True,True,80.38002529762778,70.0,,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",0.85,15,600,600,0.854116005897522,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手绽放局部动态幅度压缩到 85%，仍应保持可评分。
花,flower_opening_dynamic_0.75,positive,True,True,79.33395203054413,70.0,,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",0.75,15,600,600,0.7524520587921143,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手绽放局部动态幅度压缩到 75%，覆盖用户开合偏小但清晰的情况。
花,flower_opening_dynamic_1.20,positive,True,True,80.07077306204556,70.0,,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",1.2,15,600,600,1.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手绽放局部动态幅度放大到 120%，覆盖开合偏大的情况。
花,flower_tip_spread_radial_0.85,positive,True,True,79.97740268617873,70.0,,radial_local_spread,right_hand,"4,8,12,16,20",0.85,0,200,200,0.9026663136482239,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,五个指尖展开半径略小，仍保留手指张开/绽放语义。
花,flower_tip_spread_radial_1.20,positive,True,True,79.57561161153684,70.0,,radial_local_spread,right_hand,"4,8,12,16,20",1.2,0,200,200,1.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,五个指尖展开半径略大，仍应保持正常或边界评分。
花,flower_opening_dynamic_0.60_diagnostic,diagnostic,False,True,77.63918509989335,,,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",0.6,15,600,600,0.38749653369188314,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,接近不开花的边界只记录诊断，避免把边界幅度当成正式正例。
花,flower_opening_dynamic_0.45_negative,negative,True,True,49.353150136426116,,45.0,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",0.45,15,600,600,0.08882524967193603,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,绽放动态大幅塌缩，应低分或进入 flower_opening_guard_failed。
花,flower_opening_dynamic_0.25_negative,negative,True,True,31.540574221175095,,45.0,dynamic_local_amplitude,right_hand,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20",0.25,15,600,600,0.0,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,几乎没有手指张开/绽放动态，不能当作完整“花”通过。
跳,self_recomputed,positive,True,True,100.0,95.0,,dynamic_local_amplitude,right_hand,,1.0,0,0,0,,semantic_action_window,score_valid,score_valid,action_window_net,used,剥离基础组后重建 hand-shape/motion/relation 特征，应保持近满分。
跳,jump_two_finger_dynamic_0.80,positive,True,True,95.88831738175799,70.0,,dynamic_local_amplitude,right_hand,"5,6,7,8,9,10,11,12",0.8,8,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,右手食指/中指小人的局部动态幅度略小，双手跳跃关系仍清晰。
跳,jump_two_finger_dynamic_1.15,positive,True,True,77.82987401466212,70.0,,dynamic_local_amplitude,right_hand,"5,6,7,8,9,10,11,12",1.15,8,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,右手食指/中指小人的局部动态幅度略大，仍应保持可评分。
跳,jump_two_finger_radial_0.90,positive,True,True,93.88140488284206,70.0,,radial_local_spread,right_hand,"5,6,7,8,9,10,11,12",0.9,0,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人局部展开略收，核心两指和左手地面关系仍保留。
跳,jump_two_finger_radial_1.15,positive,True,True,91.5103748218221,70.0,,radial_local_spread,right_hand,"5,6,7,8,9,10,11,12",1.15,0,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,两指小人局部展开略放，核心关系仍应保持正常。
跳,jump_two_finger_dynamic_0.45_diagnostic,diagnostic,False,True,89.03615149234285,,,dynamic_local_amplitude,right_hand,"5,6,7,8,9,10,11,12",0.45,8,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,严重两指局部动态压缩只记录当前边界；硬负例由遮挡/裁切/关系门覆盖。
跳,jump_two_finger_radial_0.45_diagnostic,diagnostic,False,True,82.08974163630953,,,radial_local_spread,right_hand,"5,6,7,8,9,10,11,12",0.45,0,136,136,,semantic_action_window,score_valid,score_valid,action_window_net,used,严重两指局部展开压缩只记录诊断，不作为当前硬负门。
