word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self,positive,True,True,100.0,95.0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,同一骨架重算基线。
花,hand_motion_blur_3tap,diagnostic,False,True,32.995373679749854,,0.028169123072607122,0.13305633910465114,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部轨迹 3 帧低通会削弱花的 opening 动态，只记录诊断边界。
花,all_keypoint_blur_3tap_light,diagnostic,False,True,56.52907623145131,,0.028353368661244164,0.08271018321330463,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全身关键点轻度 3 帧平滑，作为模糊/低通诊断边界。
花,hand_motion_blur_5tap_light,diagnostic,False,True,30.904524575112745,,0.02759334793464945,0.14091211037095608,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部轨迹 5 帧低通会抹掉短时手形变化，只记录诊断边界。
花,hand_exponential_smooth_alpha_0.70,diagnostic,False,True,64.65993668235673,,0.028010171290359744,0.0632241169750022,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部轨迹指数平滑可能滞后手形 opening，只记录诊断边界。
花,all_keypoint_motion_amplitude_0.90,positive,True,True,79.90841814898054,70.0,0.02863892080921027,0.03252190212975811,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全身关键点运动幅度轻微衰减到 90%，模拟保守动作或模型轨迹收缩。
花,all_keypoint_motion_amplitude_1.10,positive,True,True,79.97637265784405,70.0,0.028778241289808597,0.032398645823403974,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全身关键点运动幅度轻微增强到 110%，模拟动作更夸张或模型轨迹外扩。
花,hand_motion_amplitude_0.85,positive,True,True,79.07358319073138,70.0,0.02862480719155034,0.034044743464996405,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部运动幅度轻微衰减到 85%，模拟运动模糊或保守动作。
花,hand_motion_amplitude_1.15,positive,True,True,79.2864851499798,70.0,0.028832458300615336,0.0336548623161221,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部运动幅度轻微增强到 115%，模拟动作更夸张或模型轨迹外扩。
花,hand_motion_blur_5tap_heavy_diagnostic,diagnostic,False,True,10.091633623725397,,0.02742943846623152,0.27521561514027604,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,更强手部轨迹低通，只记录诊断边界。
