word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self,positive,True,True,100.0,95.0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,同一骨架重算基线。
花,global_zoom_out_0.75,positive,True,True,79.44772639641164,70.0,0.028643992502306218,0.03336028197901271,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,用户离镜头更远，整人骨架约缩小到 75%。
花,global_zoom_in_1.25,positive,True,True,79.7714758284207,70.0,0.0287803026907192,0.03277060772261236,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,用户离镜头更近，整人骨架约放大到 125%。
花,global_rotate_8deg,positive,True,True,81.34576422264121,70.0,0.028679596153164212,0.029936906224610545,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,摄像头或身体轻微倾斜约 8 度。
花,framing_shift_zoom_in,positive,True,True,80.606088685684,70.0,0.02872526409128193,0.03126141961178533,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,画面偏右上且略近。
花,framing_shift_zoom_out,positive,True,True,80.55286543276752,70.0,0.028657865715637297,0.03135719302996957,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,画面偏左下且略远。
花,hand_region_zoom_in_1.18,positive,True,True,80.21061143539123,70.0,0.028750379529903485,0.03197458331738728,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部区域因取景略近而放大。
花,hand_region_zoom_out_0.82,positive,True,True,80.06108510229204,70.0,0.028650422688278377,0.03224514044080056,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部区域因取景略远而缩小。
花,extreme_zoom_in_1.40_diag,diagnostic,False,True,78.8993181272612,,0.028847086486722268,0.0343646520599782,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端近距离和偏移，只记录诊断，不作为通过条件。
花,extreme_zoom_out_0.60_diag,diagnostic,False,True,77.9541408868657,,0.028633618615030176,0.036112173084650215,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端远距离和偏移，只记录诊断，不作为通过条件。
跳,self,positive,True,True,100.0,95.0,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,同一骨架重算基线。
跳,global_zoom_out_0.75,positive,True,True,70.93564683747971,70.0,0.05900580721847589,0.1029096393010343,19,semantic_action_window,score_valid,score_valid,action_window_net,used,用户离镜头更远，整人骨架约缩小到 75%。
跳,global_zoom_in_1.25,positive,True,True,90.19918585522399,70.0,0.01585853908088843,0.023055587659111355,19,semantic_action_window,score_valid,score_valid,action_window_net,used,用户离镜头更近，整人骨架约放大到 125%。
跳,global_rotate_8deg,positive,True,True,95.78786322480073,70.0,0.010308467839751133,0.010911109270163435,19,semantic_action_window,score_valid,score_valid,action_window_net,used,摄像头或身体轻微倾斜约 8 度。
跳,framing_shift_zoom_in,positive,True,True,93.12777583941697,70.0,0.01277485818206975,0.016553851067462922,19,semantic_action_window,score_valid,score_valid,action_window_net,used,画面偏右上且略近。
跳,framing_shift_zoom_out,positive,True,True,70.70780472658087,70.0,0.05758122163886783,0.09078688685758926,19,semantic_action_window,score_valid,score_valid,action_window_net,used,画面偏左下且略远。
跳,hand_region_zoom_in_1.18,positive,True,True,92.77597885332092,70.0,0.011413071970515174,0.01671951522895485,19,semantic_action_window,score_valid,score_valid,action_window_net,used,手部区域因取景略近而放大。
跳,hand_region_zoom_out_0.82,positive,True,True,74.99921540007126,70.0,0.054836830072261325,0.06801593250310314,19,semantic_action_window,score_valid,score_valid,action_window_net,used,手部区域因取景略远而缩小。
跳,extreme_zoom_in_1.40_diag,diagnostic,False,True,83.01208562077748,,0.03141590289792676,0.04259203498156834,19,semantic_action_window,score_valid,score_valid,action_window_net,used,极端近距离和偏移，只记录诊断，不作为通过条件。
跳,extreme_zoom_out_0.60_diag,diagnostic,False,True,70.50926554093947,,0.08089871948711022,0.14102731453464457,19,semantic_action_window,score_valid,score_valid,action_window_net,used,极端远距离和偏移，只记录诊断，不作为通过条件。
