word,variant,kind,gated,passed,score,min_score,max_score,query_length,length_ratio,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,phase_order_blocked,phase_order_reason,rationale
花,repeat_full_2x,positive,True,True,96.7072903900688,70.0,,106,2.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,完整动作连续做两遍，录制应能匹配其中一个完整实例。
花,repeat_full_2x_mid_pause,positive,True,True,96.50548269007216,70.0,,111,2.0943396226415096,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,两遍动作之间有短暂停顿，模拟用户重做一次后才停止。
花,prefix_partial_then_full,positive,True,True,98.25528907881737,70.0,,72,1.3584905660377358,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,先做了不完整开头，然后补做一遍完整动作。
花,full_then_suffix_partial,positive,True,True,97.02525391985391,70.0,,72,1.3584905660377358,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,完整动作后又开始下一遍的后段/收尾，停止偏晚。
花,core_repeat_middle,positive,True,True,96.65727726532319,70.0,,84,1.5849056603773586,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,核心动作段重复一次，完整起止仍可见。
花,setup_only_35pct_negative,negative,True,True,21.901847269327202,,45.0,19,0.3584905660377358,full_sequence_with_action_window_diagnostics,semantic_mismatch,flower_opening_guard_failed,short_visible_core,query_not_short_core_capture,False,passed,只录到动作开头 setup，不能当作完整手语通过。
花,repeat_full_3x_diagnostic,diagnostic,False,True,95.41665144785854,,,159,3.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,连续做三遍属于长录制诊断边界，记录分数但不作为硬门。
花,late_bloom_only_diagnostic,diagnostic,False,True,77.68574868132883,,,19,0.3584905660377358,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,False,passed,花的后段可能仍包含绽放核心，作为诊断边界记录，不设负向门。
跳,repeat_full_2x,positive,True,True,93.71610731144874,70.0,,38,2.0,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,完整动作连续做两遍，录制应能匹配其中一个完整实例。
跳,repeat_full_2x_mid_pause,positive,True,True,93.71697111146244,70.0,,41,2.1578947368421053,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,两遍动作之间有短暂停顿，模拟用户重做一次后才停止。
跳,prefix_partial_then_full,positive,True,True,98.83068843549397,70.0,,26,1.368421052631579,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,先做了不完整开头，然后补做一遍完整动作。
跳,full_then_suffix_partial,positive,True,True,99.93870678310324,70.0,,26,1.368421052631579,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,完整动作后又开始下一遍的后段/收尾，停止偏晚。
跳,core_repeat_middle,positive,True,True,81.95037952458314,70.0,,30,1.5789473684210527,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,False,passed,核心动作段重复一次，完整起止仍可见。
跳,setup_only_35pct_negative,negative,True,True,9.427765190496027,,45.0,7,0.3684210526315789,semantic_action_window,semantic_mismatch,weak_same_direction_vertical_jump,action_window_net,weak_same_direction_vertical_jump,False,passed,只录到动作开头 setup，不能当作完整手语通过。
跳,repeat_full_3x_diagnostic,diagnostic,False,True,77.86797926325579,,,57,3.0,semantic_action_window,score_valid,score_valid,action_window_net,used,False,passed,连续做三遍属于长录制诊断边界，记录分数但不作为硬门。
跳,landing_only_35pct_negative,negative,True,True,12.23944655195238,,45.0,7,0.3684210526315789,semantic_action_window,semantic_mismatch,relation_direction_mismatch,action_window_net,relation_direction_mismatch,False,passed,跳只录到后段落点/收尾，缺少完整起跳关系。
