word,variant,score,dtw_distance,normalized_distance,query_length,standard_length,length_ratio,alignment_policy,capture_quality_status,semantic_floor_source,included_in_gate
花,self,100.0,0.0,0.0,53,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_8f,32.28396780860696,0.029030689375058896,0.13567193179895437,8,53,0.1509433962264151,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,False
花,uniform_12f,78.4818526190181,0.025660046044860385,0.08670673062085878,12,53,0.22641509433962265,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_16f,94.27289583449566,0.022690501289131564,0.023300412905643563,16,53,0.3018867924528302,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_24f,95.69981137990733,0.016886775975375468,0.017349713864026395,24,53,0.4528301886792453,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_32f,95.16819819366266,0.012411451710873513,0.015248474737087575,32,53,0.6037735849056604,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_48f,97.89814516955647,0.0031828637591119003,0.0051490359501765726,48,53,0.9056603773584906,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_80f,97.37631993772484,0.0001944235686636919,0.003981508689357732,80,53,1.509433962264151,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_17f,94.06476276051357,0.02259087472248774,0.02355613650385097,17,53,0.32075471698113206,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_26f,95.54400174565542,0.015712584361173274,0.016822757370696693,26,53,0.49056603773584906,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,uniform_106f,99.5876302742158,0.0001667043124448103,0.0007075301590031033,106,53,2.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,front_dense_16f,92.50933466220795,0.02419166610247009,0.027014374504264825,16,53,0.3018867924528302,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,back_dense_16f,93.56878683243113,0.02166729213078088,0.02372237304412668,16,53,0.3018867924528302,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,front_dense_24f,94.3133716176257,0.01935747734168132,0.021071705388430135,24,53,0.4528301886792453,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,back_dense_24f,95.06975596360748,0.016277925743777368,0.01791174886076485,24,53,0.4528301886792453,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,drop_every_2_keep_ends,95.77696427094187,0.01539710685330674,0.016264577480844315,27,53,0.5094339622641509,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
花,drop_every_3_keep_ends,94.68459631370656,0.020627523084282087,0.02132762423331183,19,53,0.3584905660377358,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,short_visible_core,True
