word,variant,kind,gated,passed,score,min_score,xy_shear,yx_shear,z_to_x,z_to_y,local_hands_only,changed_visible_points,selected_visible_points,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,0.0,0.0,0.0,0.0,False,0,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation 特征，应保持近满分。
花,global_shear_x_from_y_0.08,positive,True,True,81.08486907891643,70.0,0.08,0.0,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微 x<-y 剪切，模拟摄像头水平斜拍。
花,global_shear_x_from_y_neg0.08,positive,True,True,81.0553327341093,70.0,-0.08,0.0,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,反向轻微 x<-y 剪切，覆盖相反斜拍方向。
花,global_shear_y_from_x_0.08,positive,True,True,81.09714833813948,70.0,0.0,0.08,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微 y<-x 剪切，模拟摄像头垂直方向斜拍。
花,global_shear_y_from_x_neg0.08,positive,True,True,81.07447171340478,70.0,0.0,-0.08,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,反向轻微 y<-x 剪切，覆盖相反斜拍方向。
花,global_shear_x_from_y_0.15,positive,True,True,80.77342115129481,70.0,0.15,0.0,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中度 x<-y 剪切，仍应保持可评分。
花,global_shear_y_from_x_0.15,positive,True,True,80.79604831288476,70.0,0.0,0.15,0.0,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中度 y<-x 剪切，仍应保持可评分。
花,perspective_z_to_x_0.35,positive,True,True,80.50167678595643,70.0,0.0,0.0,0.35,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,x 坐标随 z 轻中度漂移，模拟非正面视角的透视偏移。
花,perspective_z_to_x_neg0.35,positive,True,True,80.50011000347894,70.0,0.0,0.0,-0.35,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,反向 x-z 透视偏移，覆盖另一侧斜拍。
花,perspective_z_to_y_0.35,positive,True,True,80.01759360008559,70.0,0.0,0.0,0.0,0.35,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,y 坐标随 z 轻中度漂移，模拟上下方向非正面视角。
花,combo_shear_0.08_zx_0.25,positive,True,True,80.58294631543893,70.0,0.08,0.0,0.25,0.0,False,1953,1953,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,轻微 image-plane 剪切叠加 z-to-x 透视偏移。
花,local_hand_shear_x_from_y_0.12,positive,True,True,80.90516861052481,70.0,0.12,0.0,0.0,0.0,True,840,840,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,只在双手局部出现轻中度剪切，模拟手掌相对镜头有斜角。
