word,other_word,variant,family,rationale,min_target_score,max_cross_score,min_margin,error,target_score,cross_score,margin,target_band,cross_band,query_length,target_capture_quality_status,target_capture_quality_reason,cross_capture_quality_status,cross_capture_quality_reason,target_score_scale_reason,cross_score_scale_reason,target_semantic_floor_source,cross_semantic_floor_source,passed,reason
花,跳,self_recomputed,baseline,同一模板序列作为基线，目标高分且错词低分。,95.0,55.0,15.0,,100.0,6.227361182035744,93.77263881796425,normal_like,low,53,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,framing_shift_zoom_out,framing,代表性取景偏移/略远扰动。,70.0,55.0,15.0,,80.55286543276752,6.221464224600798,74.33140120816672,normal_like,low,53,score_valid,score_valid,semantic_mismatch,phase_order_disorder,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,global_rotate_8deg,framing,轻微摄像头或身体倾斜。,70.0,55.0,15.0,,81.34576422264121,6.182165592704396,75.16359862993681,normal_like,low,53,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,mirror_x,mirror,浏览器镜像/前置摄像头预览方向扰动。,70.0,55.0,15.0,,80.53327362034945,5.878779973416017,74.65449364693343,normal_like,low,53,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,hand_noise_0.010_seed1,landmark_noise,小幅连续手部 landmark 抖动。,70.0,55.0,15.0,,76.72671442419572,5.950415768518785,70.77629865567694,normal_like,low,53,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,hand_frame_dropout_0.03_seed1,landmark_noise,少量整帧手部检出不稳定。,70.0,55.0,15.0,,98.59943925178031,5.633025735179081,92.96641351660124,normal_like,low,53,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,prefix_hold_25pct,temporal_padding,动作前准备静止帧。,70.0,55.0,15.0,,99.522480055571,8.506239347833402,91.0162407077376,normal_like,low,66,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,slow_repeat_each_2x,temporal_padding,动作整体变慢但相位完整。,70.0,55.0,15.0,,99.5876302742158,6.104875521897007,93.48275475231878,normal_like,low,106,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,trim_start_15pct,action_crop,录制略晚开始，核心动作仍在。,70.0,55.0,15.0,,99.56893232319487,5.8710206283984805,93.69791169479639,normal_like,low,45,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
花,跳,center_70pct,action_crop,保留中间动作窗口，模拟起止边界不精确。,70.0,55.0,15.0,,98.01270733817832,3.244959644348803,94.76774769382952,normal_like,low,37,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,short_visible_core,,True,passed
跳,花,self_recomputed,baseline,同一模板序列作为基线，目标高分且错词低分。,95.0,55.0,15.0,,100.0,15.330339788736241,84.66966021126376,normal_like,low,19,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,short_action_window_with_query_energy_peak,default,action_window_net,short_visible_core,True,passed
跳,花,framing_shift_zoom_out,framing,代表性取景偏移/略远扰动。,70.0,55.0,15.0,,70.70780472658087,15.279414023547114,55.42839070303376,borderline,low,19,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,action_window_net,short_visible_core,True,passed
跳,花,global_rotate_8deg,framing,轻微摄像头或身体倾斜。,70.0,55.0,15.0,,95.78786322480073,15.490224422430973,80.29763880236976,normal_like,low,19,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,short_action_window_with_query_energy_peak,default,action_window_net,short_visible_core,True,passed
跳,花,mirror_x,mirror,浏览器镜像/前置摄像头预览方向扰动。,70.0,55.0,15.0,,80.84336698034281,14.763612445885489,66.07975453445732,normal_like,low,19,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,full_sequence_local_relation_segment,short_visible_core,True,passed
跳,花,hand_noise_0.010_seed1,landmark_noise,小幅连续手部 landmark 抖动。,70.0,55.0,15.0,,72.81038924469712,15.197029815323917,57.613359429373205,borderline,low,19,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,action_window_net,short_visible_core,True,passed
