word,variant,kind,gated,passed,score,min_score,shift_frames,pattern,active_frame_count,changed_hand_frames,changed_hand_groups,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,0,full,53,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,both_hands_delay_1f,positive,True,True,99.47335124639788,70.0,1,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手部流整体滞后 1 帧，模拟模型/worker 手部流轻微延迟。
花,both_hands_advance_1f,positive,True,True,99.39820096961928,70.0,-1,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手部流整体提前 1 帧，模拟帧切片和结果对齐轻微偏移。
花,both_hands_delay_2f,positive,True,True,99.02332153106347,70.0,2,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手部流整体滞后 2 帧，验证语义 DTW 对小型检测延迟的吸收。
花,both_hands_advance_2f,positive,True,True,99.04626927477238,70.0,-2,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手部流整体提前 2 帧，仍应保留完整动作可评分性。
花,middle35_both_hands_delay_2f,positive,True,True,98.48493054774436,70.0,2,middle_35pct,19,19,38,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花手部流中段约 35% 出现 2 帧手部流滞后，模拟核心段短暂处理延迟。
花,sparse_both_hands_delay_2f_every_5f,positive,True,True,97.23726333867407,70.0,2,sparse_every_5f,11,11,22,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,每 5 帧一次 2 帧手部流滞后，模拟偶发结果对齐抖动。
花,both_hands_delay_4f_diagnostic,diagnostic,False,True,97.8240986281461,,4,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全程 4 帧手部流滞后已接近明显对齐错误，只记录诊断边界。
花,both_hands_advance_4f_diagnostic,diagnostic,False,True,98.28339634057063,,-4,full,53,52,104,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,全程 4 帧提前属于明显结果对齐错误，只记录诊断边界。
花,middle35_both_hands_delay_5f_diagnostic,diagnostic,False,True,97.40644789677161,,5,middle_35pct,19,19,38,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,核心中段 5 帧延迟可能破坏真实相位证据，只记录诊断分数。
跳,self_recomputed,positive,True,True,100.0,95.0,0,full,19,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,both_hands_delay_1f,positive,True,True,78.753919696322,70.0,1,full,19,18,36,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳跃双手流整体滞后 1 帧，模拟模型/worker 手部流轻微延迟。
跳,both_hands_advance_1f,positive,True,True,99.9342445522852,70.0,-1,full,19,18,36,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳跃双手流整体提前 1 帧，模拟帧切片和结果对齐轻微偏移。
跳,both_hands_delay_2f,positive,True,True,94.65232005015805,70.0,2,full,19,18,36,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,跳跃双手流整体滞后 2 帧，验证语义 DTW 对小型检测延迟的吸收。
跳,both_hands_advance_2f,positive,True,True,92.30479615331308,70.0,-2,full,19,18,36,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳跃双手流整体提前 2 帧，仍应保留完整动作可评分性。
跳,middle35_both_hands_delay_2f,positive,True,True,78.5453980517561,70.0,2,middle_35pct,7,7,14,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,跳跃双手流中段约 35% 出现 2 帧手部流滞后，模拟核心段短暂处理延迟。
跳,sparse_both_hands_delay_2f_every_5f,positive,True,True,76.03645781161661,70.0,2,sparse_every_5f,4,4,8,19,semantic_action_window,score_valid,score_valid,action_window_net,used,每 5 帧一次 2 帧手部流滞后，模拟偶发结果对齐抖动。
跳,both_hands_delay_4f_diagnostic,diagnostic,False,True,95.9374211191336,,4,full,19,18,36,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,全程 4 帧手部流滞后已接近明显对齐错误，只记录诊断边界。
跳,both_hands_advance_4f_diagnostic,diagnostic,False,True,76.89016482876954,,-4,full,19,18,36,19,semantic_action_window,score_valid,score_valid,action_window_net,used,全程 4 帧提前属于明显结果对齐错误，只记录诊断边界。
跳,middle35_both_hands_delay_5f_diagnostic,diagnostic,False,True,81.54476884294786,,5,middle_35pct,7,7,14,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,核心中段 5 帧延迟可能破坏真实相位证据，只记录诊断分数。
