case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,44,100.0,0.0,0.0
subsample_even,target_positive_variant,high,22,61.749909299044184,0.01967952124570786,0.05784932151869679
trim_start_20pct,target_positive_variant,high,35,55.67460051943617,0.0005142857142857142,0.07027753777125849
trim_end_20pct,target_positive_variant,high,35,36.120422066736765,0.0005142857142857142,0.12219741268583698
trim_both_10pct,target_positive_variant,high,36,62.766563785057485,0.0029545454545454545,0.055889721372796713
amplitude_0.85,target_positive_variant,high,44,84.85183160392174,0.00026642396417417237,0.019711632979896403
amplitude_1.15,target_positive_variant,high,44,86.68762953737847,0.00023056576565266728,0.01714307923335668
fake_reverse_time,synthetic_fake_action,low,44,15.241795348214668,0.05121532541675659,0.22573546052005114
fake_shuffle_frames,synthetic_fake_action,low,44,2.9626456027234234,0.04385834249510674,0.42229050385631645
fake_static_hold,synthetic_fake_action,low,44,0.39063588883571443,0.0882992436024189,0.6654179483338375
fake_random_landmarks,synthetic_fake_action,low,44,0.38036517531868863,0.04554991792616909,0.6686152423226506
fake_random_walk,synthetic_fake_action,low,44,1.4231865554824017,0.04554124588128673,0.5102726130414079
other_demo_唱歌,other_demo_action,low,27,9.891372608162294,0.15719236460948321,0.27762087150060827
other_demo_指示,other_demo_action,low,30,23.306395092822484,0.047929026450227306,0.17477308746871678
other_demo_月亮,other_demo_action,low,47,11.890841866620057,0.04972907161091436,0.2555282007837776
other_demo_朋友,other_demo_action,low,28,21.914205163727612,0.04789240238560747,0.1821642146192348
other_demo_花,other_demo_action,low,53,3.6037790249309247,0.03441760705110994,0.39878245943506996
other_demo_虎,other_demo_action,low,54,32.11023016193595,0.04432046528398185,0.13631946119899047
other_demo_谗_羡慕,other_demo_action,low,32,26.341926225961082,0.0444355250820664,0.16008100356470586
other_demo_跳,other_demo_action,low,19,20.28748289518738,0.047966673665002006,0.19141993155222084
other_demo_香蕉,other_demo_action,low,42,15.931952506586825,0.04865854000079049,0.22042122020168908
