word,variant,kind,passed,score,min_score,degrees,dtw_distance,normalized_distance,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,100.0,95.0,0.0,0.0,0.0,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建派生特征，应保持近满分。
花,camera_roll_pos5deg,positive,True,81.38740300512302,75.0,5.0,0.028679596088226157,0.02986270348285264,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,摄像头或身体轻微顺时针倾斜 5 度。
花,camera_roll_neg5deg,positive,True,81.38740295141015,75.0,-5.0,0.028679596042858416,0.02986270357854762,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,摄像头或身体轻微逆时针倾斜 5 度。
花,camera_roll_pos10deg,positive,True,81.31805574341267,75.0,10.0,0.02867959591773114,0.029986305402963022,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,摄像头或身体中等顺时针倾斜 10 度。
花,camera_roll_neg10deg,positive,True,81.31805640778364,75.0,-10.0,0.0286795960172748,0.029986304218308623,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,摄像头或身体中等逆时针倾斜 10 度。
花,camera_roll_pos15deg,positive,True,81.24903178453626,75.0,15.0,0.02867959595606087,0.03010943579535297,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,较明显顺时针倾斜 15 度，仍应保持可评分。
花,camera_roll_neg15deg,positive,True,81.24903274967899,75.0,-15.0,0.02867959605930998,0.03010943407292386,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,较明显逆时针倾斜 15 度，仍应保持可评分。
花,camera_roll_pos20deg,positive,True,81.18046189735347,75.0,20.0,0.028679595991697733,0.03023185979615186,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,明显顺时针倾斜 20 度，作为正向鲁棒边界。
花,camera_roll_neg20deg,positive,True,81.18046240805108,75.0,-20.0,0.02867959608926377,0.030231858883972312,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,明显逆时针倾斜 20 度，作为正向鲁棒边界。
花,camera_roll_pos35deg_diagnostic,diagnostic,True,80.97875748509946,,35.0,0.028679596117419225,0.03059258125216264,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,35 度整体倾斜已偏离正常网页取景，只记录诊断边界。
