word,variant,kind,gated,passed,score,min_score,source_group,target_group,pattern,alpha,active_frame_count,changed_frames,changed_points,skipped_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,left_hand,right_hand,none,0.0,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,single_mid_left_blend_toward_right_0.45,positive,True,True,100.0,70.0,right_hand,left_hand,single_mid,0.45,1,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧左手 landmark 被右手局部吸引，模拟双手短暂重叠。
花,single_mid_right_blend_toward_left_0.45,positive,True,True,100.0,70.0,left_hand,right_hand,single_mid,0.45,1,0,0,21,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,单帧右手 landmark 被左手局部吸引，模拟双手短暂重叠。
花,sparse_left_blend_toward_right_0.35_every_6f,positive,True,True,100.0,70.0,right_hand,left_hand,sparse_every_6f,0.35,9,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏帧左手向右手融合，完整动作证据仍应可评分。
花,sparse_right_blend_toward_left_0.35_every_6f,positive,True,True,100.0,70.0,left_hand,right_hand,sparse_every_6f,0.35,9,0,0,168,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,稀疏帧右手向左手融合，完整动作证据仍应可评分。
花,flower_middle20_left_noncore_blend_right_0.55,positive,True,True,100.0,70.0,right_hand,left_hand,middle_20pct,0.55,11,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的非核心左手中段向开花手融合，不应拖低右手核心开花语义。
花,flower_full_left_noncore_blend_right_0.45,positive,True,True,100.0,65.0,right_hand,left_hand,full,0.45,53,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的非核心左手全程轻度向开花手融合，按非核心手干扰局部门槛处理。
花,flower_right_hand_self_overlap_0.12,positive,True,True,81.34277796294715,70.0,self_center,right_hand,full,0.12,53,40,840,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的开花手 landmarks 轻微向掌心融合，模拟单手自遮挡/手指重叠但开花语义仍清晰。
花,flower_middle20_right_self_overlap_0.20,positive,True,True,97.5738486155112,70.0,self_center,right_hand,middle_20pct,0.2,11,11,231,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,花的开花手中段轻度向掌心融合，验证核心片段轻微自遮挡仍可评分。
花,flower_middle35_right_core_blend_left_0.60_diagnostic,diagnostic,False,True,100.0,,left_hand,right_hand,middle_35pct,0.6,19,0,0,399,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手中段向非核心手融合时的边界分。
花,flower_middle35_right_self_overlap_0.45_diagnostic,diagnostic,False,True,95.60683463665924,,self_center,right_hand,middle_35pct,0.45,19,19,399,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手较强自遮挡融合时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,left_hand,right_hand,none,0.0,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,single_mid_left_blend_toward_right_0.45,positive,True,True,74.7686307671861,70.0,right_hand,left_hand,single_mid,0.45,1,1,21,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧左手 landmark 被右手局部吸引，模拟双手短暂重叠。
跳,single_mid_right_blend_toward_left_0.45,positive,True,True,70.46895751687171,70.0,left_hand,right_hand,single_mid,0.45,1,1,21,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,单帧右手 landmark 被左手局部吸引，模拟双手短暂重叠。
跳,sparse_left_blend_toward_right_0.35_every_6f,positive,True,True,75.0668215797147,70.0,right_hand,left_hand,sparse_every_6f,0.35,3,3,63,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏帧左手向右手融合，完整动作证据仍应可评分。
跳,sparse_right_blend_toward_left_0.35_every_6f,positive,True,True,72.10740369517681,70.0,left_hand,right_hand,sparse_every_6f,0.35,3,3,63,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,稀疏帧右手向左手融合，完整动作证据仍应可评分。
跳,jump_middle20_left_ground_blend_right_0.25,positive,True,True,74.21024093421254,70.0,right_hand,left_hand,middle_20pct,0.25,3,3,63,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面在短核心窗口内轻微向右手融合，双手关系仍应保留。
跳,jump_middle20_right_person_blend_left_0.25,positive,True,True,74.43160488852392,70.0,left_hand,right_hand,middle_20pct,0.25,3,3,63,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手小人在短核心窗口内轻微向左手融合，双手关系仍应保留。
跳,jump_right_person_self_overlap_0.08,positive,True,True,99.10865734663497,70.0,self_center,right_hand,full,0.08,19,17,357,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人轻微自遮挡融合，手形仍应保持可识别。
跳,jump_middle35_left_ground_blend_right_0.55_diagnostic,diagnostic,False,True,83.28802713296872,,right_hand,left_hand,middle_35pct,0.55,7,6,126,0,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,诊断记录：左手地面较长核心段向右手融合时的边界分。
跳,jump_middle35_right_person_blend_left_0.55_diagnostic,diagnostic,False,True,81.56637489990057,,left_hand,right_hand,middle_35pct,0.55,7,6,126,21,19,semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,诊断记录：右手小人较长核心段向左手融合时的边界分。
跳,jump_right_person_self_overlap_0.30_diagnostic,diagnostic,False,True,97.70873560171682,,self_center,right_hand,middle_35pct,0.3,7,7,147,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人较强自遮挡融合时的边界分。
