word,variant,kind,gated,passed,score,min_score,pattern,mode,amplitude,period,local_hands_only,shear_min,shear_max,changed_frames,changed_visible_points,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,none,x_from_y,0.0,1,False,0.0,0.0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,smooth_rolling_x_from_y_0.08,positive,True,True,81.9749777896921,70.0,smooth,x_from_y,0.08,1,False,-0.08,0.08,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整帧逐行 x<-y 时变斜切 8%，模拟轻微 rolling-shutter skew。
花,smooth_rolling_y_from_x_0.06,positive,True,True,82.05515199891366,70.0,smooth,y_from_x,0.06,1,False,-0.06,0.06,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整帧逐行 y<-x 时变斜切 6%，覆盖垂直方向滚动快门失真。
花,ramp_rolling_x_from_y_0.06,positive,True,True,81.78210949742916,70.0,ramp,x_from_y,0.06,1,False,-0.06,0.06,52,1911,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,斜切量随录制过程缓慢从反向过渡到正向，模拟用户或相机持续移动。
花,sparse_rolling_x_from_y_0.08_every_5f,positive,True,True,98.72551960480877,70.0,sparse,x_from_y,0.08,5,False,-0.08,0.08,10,357,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧出现轻微 rolling-shutter skew，模拟偶发快门行扭曲。
花,local_hands_smooth_rolling_x_from_y_0.10,positive,True,True,81.91980215914475,70.0,smooth,x_from_y,0.1,1,True,-0.1,0.1,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,仅双手局部出现轻微时变斜切，模拟快速手部运动带来的局部 rolling-shutter 形变。
花,smooth_rolling_xy_combo_0.055,positive,True,True,82.10295665262817,70.0,smooth,xy_combo,0.055,1,False,-0.055,0.055,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,x/y 组合时变斜切，覆盖轻微斜向 rolling-shutter wobble。
花,strong_smooth_rolling_x_from_y_0.22_diagnostic,diagnostic,False,True,81.60226271517745,,smooth,x_from_y,0.22,1,False,-0.22,0.22,50,1848,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强 rolling-shutter skew 只记录诊断边界，不代表正常网页采集。
花,strong_sparse_rolling_xy_combo_0.18_every_4f_diagnostic,diagnostic,False,True,97.81933032891179,,sparse,xy_combo,0.18,4,False,-0.18,0.18,13,483,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,少量帧强组合斜切不是正常轻微快门失真，只记录诊断分数。
花,strong_local_hands_rolling_x_from_y_0.22_diagnostic,diagnostic,False,True,81.60226271517745,,smooth,x_from_y,0.22,1,True,-0.22,0.22,50,798,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强局部手部斜切可能真实破坏手形语义，只作为诊断边界。
跳,self_recomputed,positive,True,True,100.0,95.0,none,x_from_y,0.0,1,False,0.0,0.0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,smooth_rolling_x_from_y_0.08,positive,True,True,97.88558598124693,70.0,smooth,x_from_y,0.08,1,False,-0.07878462024097665,0.07878462024097664,16,945,19,semantic_action_window,score_valid,score_valid,action_window_net,used,整帧逐行 x<-y 时变斜切 8%，模拟轻微 rolling-shutter skew。
