word,variant,kind,gated,passed,score,min_score,max_abs_shift_frames,changed_hand_frames,total_frames,shifts,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,0,0,53,{},full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
花,right_hand_delay_1f,positive,True,True,99.47335124639788,70.0,1,52,53,"{""right_hand"": 1}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手滞后 1 帧，模拟轻微采样/检测延迟。
花,right_hand_advance_1f,positive,True,True,99.39820096961928,70.0,1,52,53,"{""right_hand"": -1}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手提前 1 帧，模拟动作窗口轻微错位。
花,right_hand_delay_2f,positive,True,True,99.02332153106347,70.0,2,52,53,"{""right_hand"": 2}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手滞后 2 帧，验证 DTW 对轻度相位偏移的吸收。
花,right_hand_advance_2f,positive,True,True,99.04626927477238,70.0,2,52,53,"{""right_hand"": -2}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手提前 2 帧，仍应保持正常评分。
花,right_hand_delay_4f_diagnostic,diagnostic,False,True,97.8240986281461,,4,52,53,"{""right_hand"": 4}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手滞后 4 帧属于强边界，仅记录诊断分数。
花,right_hand_advance_4f_diagnostic,diagnostic,False,True,98.28339634057063,,4,52,53,"{""right_hand"": -4}",full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手提前 4 帧属于强边界，仅记录诊断分数。
跳,self_recomputed,positive,True,True,100.0,95.0,0,0,19,{},semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation 特征，应保持近满分。
跳,right_hand_delay_1f,positive,True,True,75.98773371810495,70.0,1,18,19,"{""right_hand"": 1}",semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,右手两指小人相对左手地面滞后 1 帧，双手关系仍应可评分。
跳,right_hand_advance_1f,positive,True,True,78.08575407425482,70.0,1,18,19,"{""right_hand"": -1}",semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人相对左手地面提前 1 帧，双手关系仍应可评分。
跳,left_hand_delay_1f,positive,True,True,78.08575407425482,70.0,1,18,19,"{""left_hand"": 1}",semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面滞后 1 帧，验证关系 fallback 不因轻微支撑相位差失败。
跳,left_hand_advance_1f,positive,True,True,75.68809741889271,70.0,1,18,19,"{""left_hand"": -1}",semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,左手地面提前 1 帧，仍应保持跳跃关系可评分。
跳,right_hand_delay_2f,positive,True,True,81.4004725211421,70.0,2,18,19,"{""right_hand"": 2}",semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人滞后 2 帧，模拟较明显但可接受的手间相位差。
跳,right_hand_advance_2f,positive,True,True,80.1451801163595,70.0,2,18,19,"{""right_hand"": -2}",semantic_action_window,score_valid,score_valid,action_window_net,used,右手两指小人提前 2 帧，仍应保持正常/边界分。
跳,left_hand_delay_2f,positive,True,True,75.82156466562066,70.0,2,18,19,"{""left_hand"": 2}",semantic_action_window,score_valid,score_valid,full_sequence_local_relation_segment,used,左手地面滞后 2 帧，双手关系仍应能被局部段恢复。
跳,left_hand_advance_2f,positive,True,True,76.90993590316056,70.0,2,18,19,"{""left_hand"": -2}",semantic_action_window,score_valid,score_valid,action_window_net,used,左手地面提前 2 帧，作为轻中度手间相位差正向门。
跳,both_hands_opposite_1f,positive,True,True,76.44246734669508,70.0,1,36,19,"{""left_hand"": -1, ""right_hand"": 1}",semantic_action_window,score_valid,score_valid,action_window_net,used,左右手相反方向各错 1 帧，覆盖两手采样相位差叠加。
跳,both_hands_opposite_2f_diagnostic,diagnostic,False,True,83.1376976553261,,2,36,19,"{""left_hand"": -2, ""right_hand"": 2}",semantic_action_window,score_valid,score_valid,action_window_net,used,左右手相反方向各错 2 帧属于强边界，仅记录诊断分数。
跳,right_hand_delay_4f_diagnostic,diagnostic,False,True,83.1376976553261,,4,18,19,"{""right_hand"": 4}",semantic_action_window,score_valid,score_valid,action_window_net,used,右手滞后 4 帧属于强边界，仅记录诊断分数。
跳,left_hand_delay_4f_diagnostic,diagnostic,False,True,75.8087172922535,,4,18,19,"{""left_hand"": 4}",semantic_action_window,score_valid,score_valid,action_window_net,used,左手滞后 4 帧属于强边界，仅记录诊断分数。
