word,variant,kind,passed,score,min_score,max_score,start,length,groups,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,query_left_presence,query_right_presence,rationale
花,right_core_1f_mid,positive,True,99.03979149861645,70.0,,26,1,right_hand,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.0,0.7358490566037735,开花手单帧短空洞。
花,right_core_3f_mid,positive,True,97.94984766013559,70.0,,25,3,right_hand,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.0,0.6981132075471698,开花手连续 3 帧短空洞。
花,right_core_5f_mid,positive,True,97.08262547068944,70.0,,24,5,right_hand,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.0,0.660377358490566,开花手连续 5 帧短空洞。
花,right_core_15pct_mid,positive,True,95.17035985093437,70.0,,22,8,right_hand,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.0,0.6037735849056604,开花手约 15% 中段短空洞，仍应可评分。
花,left_noncore_15pct_mid,positive,True,100.0,70.0,,22,8,left_hand,score_valid,score_valid,short_visible_core,query_not_short_core_capture,0.0,0.7547169811320755,非核心手约 15% 中段空洞，不应影响开花语义。
花,right_core_25pct_mid_negative,negative,True,55.97464291760459,,45.0,20,13,right_hand,needs_recapture,flower_core_hand_presence_low,short_visible_core,query_not_short_core_capture,0.0,0.5094339622641509,开花手约 25% 中段缺失，应进入重采或明显降分。
花,right_core_35pct_mid_negative,negative,True,37.75234560096986,,45.0,17,19,right_hand,needs_recapture,flower_core_hand_presence_low,short_visible_core,query_not_short_core_capture,0.0,0.39622641509433965,开花手约 35% 中段缺失，应稳定拒绝。
跳,right_jump_1f_mid,positive,True,81.56637489990057,70.0,,9,1,right_hand,score_valid,score_valid,full_sequence_local_relation_segment,used,0.8421052631578947,0.8421052631578947,跳跃手单帧短空洞。
跳,right_jump_2f_mid,positive,True,78.52459221913499,70.0,,8,2,right_hand,score_valid,score_valid,full_sequence_local_relation_segment,used,0.8421052631578947,0.7894736842105263,跳跃手连续 2 帧短空洞。
跳,right_jump_3f_mid,positive,True,74.62943369374624,70.0,,8,3,right_hand,score_valid,score_valid,full_sequence_local_relation_segment,used,0.8421052631578947,0.7368421052631579,跳跃手连续 3 帧短空洞。
跳,left_ground_1f_mid,positive,True,81.56314202179935,70.0,,9,1,left_hand,score_valid,score_valid,action_window_net,used,0.7894736842105263,0.8947368421052632,地面手单帧短空洞。
跳,left_ground_2f_mid,positive,True,76.90476190476191,70.0,,8,2,left_hand,score_valid,score_valid,action_window_net,used,0.7368421052631579,0.8947368421052632,地面手连续 2 帧短空洞。
跳,both_hands_1f_mid,positive,True,78.5453980517561,70.0,,9,1,left_hand+right_hand,score_valid,score_valid,full_sequence_local_relation_segment,used,0.7894736842105263,0.8421052631578947,双手同帧短空洞 1 帧。
跳,both_hands_2f_mid_negative,negative,True,18.48444525232822,,45.0,8,2,left_hand+right_hand,needs_recapture,jump_two_hand_presence_low,,insufficient_two_hand_presence,0.7368421052631579,0.7894736842105263,双手连续 2 帧同时缺失，应进入重采或明显降分。
跳,right_jump_4f_mid_negative,negative,True,13.198963025949862,,45.0,7,4,right_hand,needs_recapture,jump_two_hand_presence_low,,required_presence_penalty_too_high,0.8421052631578947,0.6842105263157895,跳跃手连续 4 帧缺失，应进入重采或明显降分。
