word,variant,kind,passed,score,min_score,query_length,standard_length,length_ratio,alignment_policy,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,score_scale_reason,rationale
花,combo_aspect_lowres_rate,positive,False,69.47209549469595,70.0,53,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,轻微宽高比失真、低分辨率坐标取整和轻微采样间隔不均叠加。
花,combo_slow_sparse_freeze_lowres,positive,True,77.95544218063517,70.0,64,53,1.2075471698113207,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,动作稍慢、偶发微冻结和常见 640x480 网格取整同时出现。
花,combo_fast_aspect_hand_quant,positive,True,80.3001873916515,70.0,45,53,0.8490566037735849,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,动作稍快、轻微反向宽高比失真和手部坐标量化同时出现。
花,combo_flower_short_dropout_stutter,positive,True,79.85986169238018,70.0,53,53,1.0,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,开花手 2 帧短检出空洞、3 帧中段冻结和轻微宽高比叠加。
花,diagnostic_strong_browser_stack,diagnostic,True,80.31305135064432,,29,53,0.5471698113207547,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,强组合压力：极快采样、强宽高比、粗网格和中段冻结，只记录边界。
花,diagnostic_dropout_rate_stack,diagnostic,True,80.77743643330044,,95,53,1.7924528301886793,"{'mode': 'full_sequence_with_action_window_diagnostics', 'used_action_window_for_scoring': False, 'reason': 'long_or_context_sensitive_action_keep_full_sequence', 'word': '花', 'standard_full_length': 53, 'standard_action_length': 15, 'standard_action_ratio': 0.2830188679245283}",score_valid,score_valid,short_visible_core,query_not_short_core_capture,visible_semantic_core_scale,较慢动作、核心手短空洞和粗手部坐标量化叠加，只记录边界。
跳,combo_aspect_lowres_rate,positive,True,97.11534191472249,70.0,19,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,short_action_window_with_query_energy_peak,轻微宽高比失真、低分辨率坐标取整和轻微采样间隔不均叠加。
跳,combo_slow_sparse_freeze_lowres,positive,True,77.99080879558684,70.0,23,19,1.2105263157894737,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,short_action_window_with_query_energy_peak,动作稍慢、偶发微冻结和常见 640x480 网格取整同时出现。
跳,combo_fast_aspect_hand_quant,positive,True,73.63199457483302,70.0,16,19,0.8421052631578947,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,jump_relation_semantic_floor,动作稍快、轻微反向宽高比失真和手部坐标量化同时出现。
跳,combo_jump_short_dropout_stutter,positive,True,92.49335976257545,70.0,19,19,1.0,"{'mode': 'semantic_action_window', 'used_action_window_for_scoring': True, 'reason': 'short_standard_action_window', 'word': '跳', 'standard_full_length': 19, 'standard_action_length': 9, 'standard_action_ratio': 0.47368421052631576}",score_valid,score_valid,action_window_net,used,short_action_window_with_query_energy_peak,跳跃手 1 帧短检出空洞、2 帧中段冻结和轻微宽高比叠加。
